DATE,AIRLINE,FLIGHT,ORIGIN,DESTINATION,DEPART,ARRIVE,DELAY,TIME,DISTANCE,TAIL,TYPE
2015-05-31,DL,403,JFK,LHR,10:54PM,11:53AM,,7H59M,3443MI,N1607B,B763
2015-06-13,AF,1548,CDG,BCN,3:43PM,5:22PM,,1H39M,533MI,,A320
2015-06-17,DL,477,BCN,JFK,10:41AM,12:52PM,,8H11M,3822MI,N819NW,A333
2016-12-22,UA,1773,EWR,LAX,10:33AM,2:05PM,,6H32M,2448MI,N14106,B752
2016-12-22,UA,1718,LAX,KOA,5:34PM,9:08PM,,5H34M,2501MI,N37462,B739
2017-01-01,UA,1147,KOA,LAX,10:32PM,5:15AM,,4H43M,2501MI,N77530,B738
2017-01-01,UA,1640,LAX,EWR,7:37AM,3:35PM,,4H58M,2448MI,N14118,B752
2017-03-13,AA,3776,LGA,CVG,6:45PM,9:34PM,,2H49M,583MI,N626AE,E145
2017-03-15,AA,3449,CVG,LGA,5:01PM,7:08PM,,2H07M,583MI,N692AE,E145
2017-03-20,AA,3776,LGA,CVG,6:49PM,9:33PM,,2H44M,583MI,N668HH,E145
2017-03-23,AA,3449,CVG,LGA,5:59PM,8:03PM,,2H04M,583MI,N686AE,E145
2017-04-03,AA,3776,LGA,CVG,7:05PM,9:39PM,,2H34M,583MI,N671AE,E145
2017-04-06,AA,3671,CVG,LGA,7:51PM,10:14PM,,2H23M,583MI,N924LL,E145
2017-04-10,AA,3776,LGA,CVG,7:57PM,10:00PM,,2H03M,583MI,N665MS,E145
2017-04-12,AA,3671,CVG,LGA,6:27PM,8:36PM,,2H09M,583MI,N663AR,E145
2017-04-17,AA,3776,LGA,CVG,7:41PM,10:32PM,,2H51M,583MI,N696AE,E145
2017-04-19,AA,3671,CVG,LGA,6:26PM,8:25PM,,1H59M,583MI,N651AE,E145
2017-04-23,AA,3449,LGA,CVG,2:14PM,4:14PM,,2H00M,583MI,N643AE,E145
2017-04-26,AA,3449,CVG,LGA,5:46PM,7:58PM,,2H12M,583MI,N647AE,E145
2017-05-01,AA,3776,LGA,CVG,8:15PM,10:39PM,,2H24M,583MI,N906AE,E145
2017-05-03,AA,3671,CVG,LGA,6:25PM,8:17PM,,1H52M,583MI,N651AE,E145
2017-05-08,AA,3776,LGA,CVG,6:41PM,9:16PM,,2H35M,583MI,N646AE,E145
2017-05-10,AA,3671,CVG,LGA,6:47PM,8:32PM,,1H45M,583MI,N656AE,E145
2017-06-19,UA,3556,EWR,CVG,8:06AM,10:05AM,,1H59M,567MI,N726YX,E75W
2017-06-20,UA,3568,CVG,EWR,12:17PM,2:16PM,,1H59M,567MI,N648RW,E170
2017-12-21,UA,1155,EWR,PBI,9:40AM,12:43PM,,3H03M,1025MI,N75426,B739
2017-12-30,UA,1988,PBI,EWR,7:35PM,10:27PM,,2H52M,1025MI,N26232,B738
2018-04-07,UA,1559,EWR,PBI,4:53PM,8:01PM,,3H08M,1025MI,N448UA,A320
2018-04-14,UA,3727,PBI,EWR,6:58PM,9:38PM,-30M,2H40M,1025MI,N743YX,E75W
2018-06-22,DL,474,JFK,VCE,9:02PM,11:16AM,-14M,8H14M,4143MI,N843MH,B764
